[Rank 3] (after 1 iterations) memory (MB) | max allocated: 2719.5
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 2727.4
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 3457.8
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 3457.8
[Rank 3] (after 2 iterations) memory (MB) | max allocated: 2751.9
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 2761.0
[Rank 2] (after 2 iterations) memory (MB) | max allocated: 3491.0
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 3491.5

[Rank 3] (after 1 iterations) memory (MB) | max allocated: 2719.5
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 2727.4
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 3457.8
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 3457.8
[Rank 3] (after 2 iterations) memory (MB) | max allocated: 2751.9
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 2761.0
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 3491.5
[Rank 2] (after 2 iterations) memory (MB) | max allocated: 3491.0

[Rank 3] (after 1 iterations) memory (MB) | max allocated: 3583.9
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 3457.8
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 3457.8
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 3591.8
[Rank 3] (after 2 iterations) memory (MB) | max allocated: 3616.5
[Rank 2] (after 2 iterations) memory (MB) | max allocated: 3491.0
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 3491.5
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 3626.0

[Rank 3] (after 1 iterations) memory (MB) | max allocated: 3583.9
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 3457.8
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 3457.8
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 3591.8
[Rank 2] (after 2 iterations) memory (MB) | max allocated: 3492.0
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 3492.0
[Rank 3] (after 2 iterations) memory (MB) | max allocated: 3618.0
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 3626.0

[Rank 2] (after 1 iterations) memory (MB) | max allocated: 3457.8
